Time [s],SP_AV1 [bar],SP_AV2 [mm],SP_AV3 [bar],Kp1 [N/A],Ki1 [N/A],Kd1 [N/A],Kp2 [N/A],Ki2 [N/A],Kd2 [N/A],Kp3 [N/A],Ki3 [N/A],Kd3 [N/A],S1fake [bar],S5fake [bar],S6fake [mm],AV1fake [%],AV2fake [%],AV3fake [%],S1real [bar],S2real [m3/h],S5real [bar],S6real [mm],S7real [m3/h],AV1real [%],AV2real [%],AV3real [%],QwIN [m3/h],QwOUT [m3/h],VwOUT [m3],Plant NORMALSTARTUP [1/0],Attack [1/0],Plant SHUTDOWN [1/0],Plant OFF [1/0],Plant RESTART [1/0]
72,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991725,1.281837584,305.1552838,23.44474786,88.15,32.5,66.81632653,9.991725,5.588624917,0.014401998,1,0,0,0,0
73,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646209,9.991727057,1.281808255,305.3322075,23.44401096,88.1625,32.37254902,66.87755102,9.991727057,6.823920399,0.014591551,1,0,0,0,0
74,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991728995,1.281822567,305.4678303,23.44331596,88.175,32.24509804,66.91836735,9.991728995,7.563412106,0.014801646,1,0,0,0,0
75,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991730821,1.281822567,305.7172111,23.44266113,88.18125,32.02941176,66.95918367,9.991730821,5.52658478,0.014955162,1,0,0,0,0
76,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991732541,1.281822567,305.8821345,23.44204436,88.19375,31.91176471,67,9.991732541,7.038790428,0.015150684,1,0,0,0,0
77,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991734162,1.281822567,305.9309966,23.44146338,88.20625,31.80392157,67.04081633,9.991734162,9.116861628,0.01540393,1,0,0,0,0
78,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991735689,1.281822567,306.2433525,23.44091596,88.21875,31.53921569,67.08163265,9.991735689,4.399024821,0.015526125,1,0,0,0,0
79,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991737128,1.281822567,306.3193902,23.44040013,88.225,31.48039216,67.12244898,9.991737128,8.630287349,0.015765855,1,0,0,0,0
80,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991738483,1.281822567,306.6101515,23.43991416,88.2375,31.20588235,67.16326531,9.991738483,4.785677441,0.015898791,1,0,0,0,0
81,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.99173976,1.281822567,306.7074363,23.43945633,88.25,31.11764706,67.20408163,9.99173976,8.249862119,0.016127954,1,0,0,0,0
82,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991740963,1.281822567,306.7589694,23.43902499,88.25625,31,67.24489796,9.991740963,9.069044358,0.016379872,1,0,0,0,0
83,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991742097,1.281822567,306.9773155,23.4386186,88.26875,30.7745098,67.28571429,9.991742097,6.082270221,0.016548824,1,0,0,0,0
84,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991743165,1.281822567,307.1540397,23.4382357,88.28125,30.60784314,67.32653061,9.991743165,6.827508541,0.016738477,1,0,0,0,0
85,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991744171,1.281822567,307.4203089,23.43787496,88.29375,30.37254902,67.36734694,9.991744171,5.224212492,0.016883594,1,0,0,0,0
86,5.5,299.982,1.3,0.8,0.4,0,1.7,0.7,0.1,1,0.7,0,0,0,0,0,0,0,5.526646208,9.991745119,1.281822567,307.673601,23.4375351,88.3,30.14705882,67.40816327,9.991745119,5.456567521,0.017035165,1,0,0,0,0
